joint id: 0, measured_angle: 0.024654, target_angle: 0.024954, newest_measurement_index: 6018, sent_torque: 0.000000, measured_torque: 0.003438
joint id: 6, measured_angle: 0.009326, target_angle: 0.010226, newest_measurement_index: 5745, sent_torque: 0.003600, measured_torque: -0.001742
joint id: 7, measured_angle: 0.002057, target_angle: 0.002957, newest_measurement_index: 5809, sent_torque: 0.003600, measured_torque: 0.002545
joint id: 8, measured_angle: 0.025421, target_angle: 0.024521, newest_measurement_index: 5809, sent_torque: -0.001800, measured_torque: 0.006135
joint id: 0, measured_angle: 0.024654, target_angle: 0.025854, newest_measurement_index: 6020, sent_torque: 0.002700, measured_torque: -0.003461
joint id: 1, measured_angle: -0.020558, target_angle: -0.019358, newest_measurement_index: 6087, sent_torque: 0.002700, measured_torque: 0.003391
joint id: 2, measured_angle: -0.004622, target_angle: -0.005822, newest_measurement_index: 6087, sent_torque: -0.002700, measured_torque: 0.000423
joint id: 3, measured_angle: -0.009957, target_angle: -0.008757, newest_measurement_index: 6056, sent_torque: 0.002700, measured_torque: -0.003163
joint id: 4, measured_angle: -0.009155, target_angle: -0.007955, newest_measurement_index: 6133, sent_torque: 0.002700, measured_torque: -0.005696
joint id: 5, measured_angle: 0.016180, target_angle: 0.014980, newest_measurement_index: 6133, sent_torque: -0.002700, measured_torque: 0.003266
joint id: 6, measured_angle: 0.009326, target_angle: 0.010526, newest_measurement_index: 5746, sent_torque: 0.005400, measured_torque: 0.002597
joint id: 7, measured_angle: 0.002057, target_angle: 0.003257, newest_measurement_index: 5810, sent_torque: 0.005400, measured_torque: 0.003559
joint id: 8, measured_angle: 0.025421, target_angle: 0.024221, newest_measurement_index: 5810, sent_torque: -0.002700, measured_torque: 0.002787
joint id: 0, measured_angle: 0.024654, target_angle: 0.026154, newest_measurement_index: 6021, sent_torque: 0.003600, measured_torque: 0.002481
joint id: 1, measured_angle: -0.020558, target_angle: -0.019058, newest_measurement_index: 6087, sent_torque: 0.003600, measured_torque: 0.003391
joint id: 2, measured_angle: -0.004622, target_angle: -0.006122, newest_measurement_index: 6087, sent_torque: -0.003600, measured_torque: 0.000423
joint id: 3, measured_angle: -0.009957, target_angle: -0.008457, newest_measurement_index: 6057, sent_torque: 0.003600, measured_torque: 0.000442
joint id: 4, measured_angle: -0.009155, target_angle: -0.007655, newest_measurement_index: 6134, sent_torque: 0.003600, measured_torque: 0.001709
joint id: 5, measured_angle: 0.016180, target_angle: 0.014680, newest_measurement_index: 6134, sent_torque: -0.003600, measured_torque: -0.003805
joint id: 6, measured_angle: 0.009326, target_angle: 0.010826, newest_measurement_index: 5747, sent_torque: 0.007200, measured_torque: 0.004261
joint id: 7, measured_angle: 0.002057, target_angle: 0.003557, newest_measurement_index: 5812, sent_torque: 0.007200, measured_torque: 0.004574
joint id: 8, measured_angle: 0.025421, target_angle: 0.023921, newest_measurement_index: 5812, sent_torque: -0.003600, measured_torque: 0.000351
joint id: 0, measured_angle: 0.024654, target_angle: 0.026454, newest_measurement_index: 6021, sent_torque: 0.004500, measured_torque: 0.002481
joint id: 1, measured_angle: -0.020558, target_angle: -0.018758, newest_measurement_index: 6089, sent_torque: 0.004500, measured_torque: -0.000488
joint id: 2, measured_angle: -0.004622, target_angle: -0.006422, newest_measurement_index: 6089, sent_torque: -0.004500, measured_torque: 0.019811
joint id: 3, measured_angle: -0.009957, target_angle: -0.008157, newest_measurement_index: 6058, sent_torque: 0.004500, measured_torque: 0.002717
joint id: 4, measured_angle: -0.009155, target_angle: -0.007355, newest_measurement_index: 6135, sent_torque: 0.004500, measured_torque: -0.003228
joint id: 5, measured_angle: 0.016180, target_angle: 0.014380, newest_measurement_index: 6135, sent_torque: -0.004500, measured_torque: -0.000343
joint id: 6, measured_angle: 0.009326, target_angle: 0.011126, newest_measurement_index: 5748, sent_torque: 0.009000, measured_torque: 0.004261
joint id: 7, measured_angle: 0.002057, target_angle: 0.003857, newest_measurement_index: 5812, sent_torque: 0.009000, measured_torque: 0.004574
joint id: 8, measured_angle: 0.025421, target_angle: 0.023621, newest_measurement_index: 5812, sent_torque: -0.004500, measured_torque: 0.000351
joint id: 0, measured_angle: 0.024654, target_angle: 0.026754, newest_measurement_index: 6023, sent_torque: 0.005400, measured_torque: 0.003861
joint id: 1, measured_angle: -0.020558, target_angle: -0.018458, newest_measurement_index: 6089, sent_torque: 0.005400, measured_torque: -0.000488
joint id: 2, measured_angle: -0.004622, target_angle: -0.006722, newest_measurement_index: 6090, sent_torque: -0.005400, measured_torque: -0.000296
joint id: 3, measured_angle: -0.009957, target_angle: -0.007857, newest_measurement_index: 6059, sent_torque: 0.005400, measured_torque: 0.002795
joint id: 4, measured_angle: -0.009155, target_angle: -0.007055, newest_measurement_index: 6137, sent_torque: 0.005400, measured_torque: 0.011019
joint id: 5, measured_angle: 0.016180, target_angle: 0.014080, newest_measurement_index: 6137, sent_torque: -0.005400, measured_torque: -0.002964
joint id: 6, measured_angle: 0.009326, target_angle: 0.011426, newest_measurement_index: 5749, sent_torque: 0.010800, measured_torque: -0.000464
joint id: 7, measured_angle: 0.002057, target_angle: 0.004157, newest_measurement_index: 5813, sent_torque: 0.010800, measured_torque: 0.009747
joint id: 8, measured_angle: 0.025421, target_angle: 0.023321, newest_measurement_index: 5813, sent_torque: -0.005400, measured_torque: -0.003454
joint id: 0, measured_angle: 0.024654, target_angle: 0.027054, newest_measurement_index: 6025, sent_torque: 0.006300, measured_torque: 0.004817
joint id: 1, measured_angle: -0.020558, target_angle: -0.018158, newest_measurement_index: 6090, sent_torque: 0.006300, measured_torque: 0.004144
joint id: 2, measured_angle: -0.004622, target_angle: -0.007022, newest_measurement_index: 6090, sent_torque: -0.006300, measured_torque: -0.000296
joint id: 3, measured_angle: -0.009957, target_angle: -0.007557, newest_measurement_index: 6060, sent_torque: 0.006300, measured_torque: 0.005186
joint id: 4, measured_angle: -0.009155, target_angle: -0.006755, newest_measurement_index: 6137, sent_torque: 0.006300, measured_torque: 0.011019
joint id: 5, measured_angle: 0.016180, target_angle: 0.013780, newest_measurement_index: 6137, sent_torque: -0.006300, measured_torque: -0.002964
joint id: 6, measured_angle: 0.009326, target_angle: 0.011726, newest_measurement_index: 5750, sent_torque: 0.012600, measured_torque: 0.003038
joint id: 7, measured_angle: 0.002057, target_angle: 0.004457, newest_measurement_index: 5814, sent_torque: 0.012600, measured_torque: 0.009747
joint id: 8, measured_angle: 0.025421, target_angle: 0.023021, newest_measurement_index: 5814, sent_torque: -0.006300, measured_torque: -0.003454
joint id: 0, measured_angle: 0.024654, target_angle: 0.027354, newest_measurement_index: 6025, sent_torque: 0.007200, measured_torque: 0.004817
joint id: 1, measured_angle: -0.020558, target_angle: -0.017858, newest_measurement_index: 6091, sent_torque: 0.007200, measured_torque: 0.001538
joint id: 2, measured_angle: -0.004622, target_angle: -0.007322, newest_measurement_index: 6091, sent_torque: -0.007200, measured_torque: -0.011224
joint id: 3, measured_angle: -0.009957, target_angle: -0.007257, newest_measurement_index: 6061, sent_torque: 0.007200, measured_torque: 0.000403
joint id: 4, measured_angle: -0.009120, target_angle: -0.006455, newest_measurement_index: 6138, sent_torque: 0.007200, measured_torque: -0.000844
joint id: 5, measured_angle: 0.016180, target_angle: 0.013480, newest_measurement_index: 6138, sent_torque: -0.007200, measured_torque: -0.004266
joint id: 6, measured_angle: 0.009361, target_angle: 0.012026, newest_measurement_index: 5751, sent_torque: 0.014400, measured_torque: 0.000336
joint id: 7, measured_angle: 0.002057, target_angle: 0.004757, newest_measurement_index: 5815, sent_torque: 0.014400, measured_torque: 0.010458
joint id: 8, measured_angle: 0.025386, target_angle: 0.022721, newest_measurement_index: 5815, sent_torque: -0.007200, measured_torque: -0.003225
joint id: 0, measured_angle: 0.024654, target_angle: 0.027654, newest_measurement_index: 6027, sent_torque: 0.008100, measured_torque: 0.004604
joint id: 1, measured_angle: -0.020558, target_angle: -0.017558, newest_measurement_index: 6091, sent_torque: 0.008100, measured_torque: 0.001538
joint id: 2, measured_angle: -0.004622, target_angle: -0.007622, newest_measurement_index: 6091, sent_torque: -0.008100, measured_torque: -0.011224
joint id: 3, measured_angle: -0.009922, target_angle: -0.006957, newest_measurement_index: 6062, sent_torque: 0.008100, measured_torque: 0.001687
joint id: 4, measured_angle: -0.009120, target_angle: -0.006155, newest_measurement_index: 6139, sent_torque: 0.007080, measured_torque: 0.006404
joint id: 5, measured_angle: 0.016145, target_angle: 0.013180, newest_measurement_index: 6139, sent_torque: -0.008100, measured_torque: -0.004266
joint id: 6, measured_angle: 0.009396, target_angle: 0.012326, newest_measurement_index: 5752, sent_torque: 0.015524, measured_torque: 0.008997
joint id: 7, measured_angle: 0.002057, target_angle: 0.005057, newest_measurement_index: 5816, sent_torque: 0.016200, measured_torque: 0.008226
joint id: 8, measured_angle: 0.025386, target_angle: 0.022421, newest_measurement_index: 5816, sent_torque: -0.007407, measured_torque: -0.003225
joint id: 0, measured_angle: 0.024654, target_angle: 0.027954, newest_measurement_index: 6027, sent_torque: 0.009000, measured_torque: 0.004604
joint id: 1, measured_angle: -0.020558, target_angle: -0.017258, newest_measurement_index: 6092, sent_torque: 0.009000, measured_torque: 0.001078
joint id: 2, measured_angle: -0.004657, target_angle: -0.007922, newest_measurement_index: 6092, sent_torque: -0.009000, measured_torque: -0.003770
joint id: 3, measured_angle: -0.009922, target_angle: -0.006657, newest_measurement_index: 6063, sent_torque: 0.008429, measured_torque: 0.006335
joint id: 4, measured_angle: -0.009120, target_angle: -0.005855, newest_measurement_index: 6141, sent_torque: 0.008864, measured_torque: 0.012587
joint id: 5, measured_angle: 0.016110, target_angle: 0.012880, newest_measurement_index: 6141, sent_torque: -0.008681, measured_torque: -0.004813
joint id: 6, measured_angle: 0.009431, target_angle: 0.012626, newest_measurement_index: 5753, sent_torque: 0.016285, measured_torque: 0.011442
joint id: 7, measured_angle: 0.002057, target_angle: 0.005357, newest_measurement_index: 5817, sent_torque: 0.018000, measured_torque: 0.009544
joint id: 8, measured_angle: 0.025386, target_angle: 0.022121, newest_measurement_index: 5817, sent_torque: -0.008867, measured_torque: -0.008169
joint id: 0, measured_angle: 0.024654, target_angle: 0.028254, newest_measurement_index: 6028, sent_torque: 0.009900, measured_torque: 0.001951
joint id: 1, measured_angle: -0.020558, target_angle: -0.016958, newest_measurement_index: 6092, sent_torque: 0.009900, measured_torque: 0.001078
joint id: 2, measured_angle: -0.004657, target_angle: -0.008222, newest_measurement_index: 6092, sent_torque: -0.008643, measured_torque: -0.003770
joint id: 3, measured_angle: -0.009887, target_angle: -0.006357, newest_measurement_index: 6064, sent_torque: 0.009779, measured_torque: 0.005156
joint id: 4, measured_angle: -0.009120, target_angle: -0.005555, newest_measurement_index: 6142, sent_torque: 0.009794, measured_torque: -0.001995
joint id: 5, measured_angle: 0.016075, target_angle: 0.012580, newest_measurement_index: 6142, sent_torque: -0.009680, measured_torque: -0.008328
joint id: 6, measured_angle: 0.009466, target_angle: 0.012926, newest_measurement_index: 5754, sent_torque: 0.017847, measured_torque: 0.018204
joint id: 7, measured_angle: 0.002057, target_angle: 0.005657, newest_measurement_index: 5818, sent_torque: 0.019800, measured_torque: 0.011573
joint id: 8, measured_angle: 0.025386, target_angle: 0.021821, newest_measurement_index: 5818, sent_torque: -0.009794, measured_torque: -0.009001
joint id: 0, measured_angle: 0.024654, target_angle: 0.028554, newest_measurement_index: 6028, sent_torque: 0.010800, measured_torque: 0.001951
joint id: 1, measured_angle: -0.020523, target_angle: -0.016658, newest_measurement_index: 6093, sent_torque: 0.010800, measured_torque: 0.010674
joint id: 2, measured_angle: -0.004692, target_angle: -0.008522, newest_measurement_index: 6093, sent_torque: -0.009543, measured_torque: -0.007907
joint id: 3, measured_angle: -0.009887, target_angle: -0.006057, newest_measurement_index: 6065, sent_torque: 0.009843, measured_torque: 0.007585
joint id: 4, measured_angle: -0.009120, target_angle: -0.005255, newest_measurement_index: 6143, sent_torque: 0.010695, measured_torque: 0.010835
joint id: 5, measured_angle: 0.016075, target_angle: 0.012280, newest_measurement_index: 6143, sent_torque: -0.010332, measured_torque: -0.008728
joint id: 6, measured_angle: 0.009501, target_angle: 0.013226, newest_measurement_index: 5755, sent_torque: 0.020064, measured_torque: 0.012510
joint id: 7, measured_angle: 0.002092, target_angle: 0.005957, newest_measurement_index: 5820, sent_torque: 0.021600, measured_torque: 0.015135
joint id: 8, measured_angle: 0.025386, target_angle: 0.021521, newest_measurement_index: 5820, sent_torque: -0.010695, measured_torque: -0.008707
joint id: 0, measured_angle: 0.024654, target_angle: 0.028854, newest_measurement_index: 6030, sent_torque: 0.011700, measured_torque: 0.003544
joint id: 1, measured_angle: -0.020523, target_angle: -0.016358, newest_measurement_index: 6093, sent_torque: 0.011579, measured_torque: 0.010674
joint id: 2, measured_angle: -0.004692, target_angle: -0.008822, newest_measurement_index: 6093, sent_torque: -0.011413, measured_torque: -0.007907
joint id: 3, measured_angle: -0.009853, target_angle: -0.005757, newest_measurement_index: 6066, sent_torque: 0.011429, measured_torque: 0.009976
joint id: 4, measured_angle: -0.009120, target_angle: -0.004955, newest_measurement_index: 6144, sent_torque: 0.011595, measured_torque: 0.012673
joint id: 5, measured_angle: 0.016041, target_angle: 0.011980, newest_measurement_index: 6144, sent_torque: -0.010226, measured_torque: -0.009795
joint id: 6, measured_angle: 0.009536, target_angle: 0.013526, newest_measurement_index: 5756, sent_torque: 0.021997, measured_torque: 0.014850
joint id: 7, measured_angle: 0.002092, target_angle: 0.006257, newest_measurement_index: 5821, sent_torque: 0.023175, measured_torque: 0.015444
joint id: 8, measured_angle: 0.025386, target_angle: 0.021221, newest_measurement_index: 5821, sent_torque: -0.011595, measured_torque: -0.007874
joint id: 0, measured_angle: 0.024654, target_angle: 0.029154, newest_measurement_index: 6032, sent_torque: 0.012600, measured_torque: 0.010973
joint id: 1, measured_angle: -0.020488, target_angle: -0.016058, newest_measurement_index: 6094, sent_torque: 0.012479, measured_torque: 0.003537
joint id: 2, measured_angle: -0.004692, target_angle: -0.009122, newest_measurement_index: 6094, sent_torque: -0.012313, measured_torque: -0.013431
joint id: 3, measured_angle: -0.009853, target_angle: -0.005457, newest_measurement_index: 6067, sent_torque: 0.011537, measured_torque: 0.011187
joint id: 4, measured_angle: -0.009120, target_angle: -0.004655, newest_measurement_index: 6145, sent_torque: 0.012495, measured_torque: 0.009221
joint id: 5, measured_angle: 0.016006, target_angle: 0.011680, newest_measurement_index: 6145, sent_torque: -0.012125, measured_torque: -0.008933
joint id: 6, measured_angle: 0.009570, target_angle: 0.013826, newest_measurement_index: 5757, sent_torque: 0.023694, measured_torque: 0.014850
joint id: 7, measured_angle: 0.002092, target_angle: 0.006557, newest_measurement_index: 5821, sent_torque: 0.024990, measured_torque: 0.015444
joint id: 8, measured_angle: 0.025386, target_angle: 0.020921, newest_measurement_index: 5821, sent_torque: -0.012495, measured_torque: -0.007874
joint id: 0, measured_angle: 0.024654, target_angle: 0.029454, newest_measurement_index: 6032, sent_torque: 0.013500, measured_torque: 0.010973
joint id: 1, measured_angle: -0.020488, target_angle: -0.015758, newest_measurement_index: 6095, sent_torque: 0.012637, measured_torque: 0.010174
joint id: 2, measured_angle: -0.004692, target_angle: -0.009422, newest_measurement_index: 6095, sent_torque: -0.013287, measured_torque: -0.009998
joint id: 3, measured_angle: -0.009853, target_angle: -0.005157, newest_measurement_index: 6068, sent_torque: 0.013124, measured_torque: 0.008889
joint id: 4, measured_angle: -0.009120, target_angle: -0.004355, newest_measurement_index: 6145, sent_torque: 0.013395, measured_torque: 0.009221
joint id: 5, measured_angle: 0.016006, target_angle: 0.011380, newest_measurement_index: 6145, sent_torque: -0.012865, measured_torque: -0.008933
joint id: 6, measured_angle: 0.009605, target_angle: 0.014126, newest_measurement_index: 5758, sent_torque: 0.025406, measured_torque: 0.027839
joint id: 7, measured_angle: 0.002127, target_angle: 0.006857, newest_measurement_index: 5822, sent_torque: 0.026790, measured_torque: 0.020725
joint id: 8, measured_angle: 0.025386, target_angle: 0.020621, newest_measurement_index: 5822, sent_torque: -0.013395, measured_torque: -0.007926
joint id: 0, measured_angle: 0.024654, target_angle: 0.029754, newest_measurement_index: 6033, sent_torque: 0.014400, measured_torque: 0.008213
joint id: 1, measured_angle: -0.020488, target_angle: -0.015458, newest_measurement_index: 6095, sent_torque: 0.014168, measured_torque: 0.010174
joint id: 2, measured_angle: -0.004692, target_angle: -0.009722, newest_measurement_index: 6095, sent_torque: -0.014191, measured_torque: -0.009998
joint id: 3, measured_angle: -0.009818, target_angle: -0.004857, newest_measurement_index: 6069, sent_torque: 0.014084, measured_torque: 0.013617
joint id: 4, measured_angle: -0.009085, target_angle: -0.004055, newest_measurement_index: 6147, sent_torque: 0.014295, measured_torque: 0.010302
joint id: 5, measured_angle: 0.015971, target_angle: 0.011080, newest_measurement_index: 6147, sent_torque: -0.013571, measured_torque: -0.016107
joint id: 6, measured_angle: 0.009640, target_angle: 0.014426, newest_measurement_index: 5759, sent_torque: 0.026952, measured_torque: 0.020880
joint id: 7, measured_angle: 0.002127, target_angle: 0.007157, newest_measurement_index: 5823, sent_torque: 0.027101, measured_torque: 0.024463
joint id: 8, measured_angle: 0.025351, target_angle: 0.020321, newest_measurement_index: 5824, sent_torque: -0.014295, measured_torque: -0.016393
joint id: 0, measured_angle: 0.024654, target_angle: 0.030054, newest_measurement_index: 6033, sent_torque: 0.015300, measured_torque: 0.008213
joint id: 1, measured_angle: -0.020488, target_angle: -0.015158, newest_measurement_index: 6096, sent_torque: 0.015068, measured_torque: -0.000561
joint id: 2, measured_angle: -0.004692, target_angle: -0.010022, newest_measurement_index: 6096, sent_torque: -0.015091, measured_torque: -0.012679
joint id: 3, measured_angle: -0.009818, target_angle: -0.004557, newest_measurement_index: 6070, sent_torque: 0.014548, measured_torque: 0.019605
joint id: 4, measured_angle: -0.009051, target_angle: -0.003755, newest_measurement_index: 6148, sent_torque: 0.014969, measured_torque: 0.008884
joint id: 5, measured_angle: 0.015971, target_angle: 0.010780, newest_measurement_index: 6148, sent_torque: -0.013505, measured_torque: -0.018893
joint id: 6, measured_angle: 0.009640, target_angle: 0.014726, newest_measurement_index: 5760, sent_torque: 0.027964, measured_torque: 0.028007
joint id: 7, measured_angle: 0.002127, target_angle: 0.007457, newest_measurement_index: 5825, sent_torque: 0.030137, measured_torque: 0.030822
joint id: 8, measured_angle: 0.025351, target_angle: 0.020021, newest_measurement_index: 5825, sent_torque: -0.015062, measured_torque: -0.013650
joint id: 0, measured_angle: 0.024654, target_angle: 0.030354, newest_measurement_index: 6035, sent_torque: 0.016200, measured_torque: 0.002271
joint id: 1, measured_angle: -0.020488, target_angle: -0.014858, newest_measurement_index: 6096, sent_torque: 0.015991, measured_torque: -0.000561
joint id: 2, measured_angle: -0.004692, target_angle: -0.010322, newest_measurement_index: 6096, sent_torque: -0.015991, measured_torque: -0.012679
joint id: 3, measured_angle: -0.009818, target_angle: -0.004257, newest_measurement_index: 6071, sent_torque: 0.015770, measured_torque: 0.015918
joint id: 4, measured_angle: -0.009016, target_angle: -0.003455, newest_measurement_index: 6149, sent_torque: 0.015882, measured_torque: 0.017085
joint id: 5, measured_angle: 0.015936, target_angle: 0.010480, newest_measurement_index: 6149, sent_torque: -0.015516, measured_torque: -0.016859
joint id: 6, measured_angle: 0.009640, target_angle: 0.015026, newest_measurement_index: 5762, sent_torque: 0.030455, measured_torque: 0.025582
joint id: 7, measured_angle: 0.002127, target_angle: 0.007757, newest_measurement_index: 5826, sent_torque: 0.031982, measured_torque: 0.024714
joint id: 8, measured_angle: 0.025316, target_angle: 0.019721, newest_measurement_index: 5826, sent_torque: -0.015989, measured_torque: -0.015568
joint id: 0, measured_angle: 0.024654, target_angle: 0.030654, newest_measurement_index: 6035, sent_torque: 0.017100, measured_torque: 0.002271
joint id: 1, measured_angle: -0.020488, target_angle: -0.014558, newest_measurement_index: 6098, sent_torque: 0.016891, measured_torque: 0.007962
joint id: 2, measured_angle: -0.004692, target_angle: -0.010622, newest_measurement_index: 6098, sent_torque: -0.016891, measured_torque: -0.006526
joint id: 3, measured_angle: -0.009818, target_angle: -0.003957, newest_measurement_index: 6072, sent_torque: 0.016681, measured_torque: 0.007646
joint id: 4, measured_angle: -0.008981, target_angle: -0.003155, newest_measurement_index: 6150, sent_torque: 0.016595, measured_torque: 0.018766
joint id: 5, measured_angle: 0.015936, target_angle: 0.010180, newest_measurement_index: 6150, sent_torque: -0.016365, measured_torque: -0.017071
joint id: 6, measured_angle: 0.009640, target_angle: 0.015326, newest_measurement_index: 5762, sent_torque: 0.032315, measured_torque: 0.025582
joint id: 7, measured_angle: 0.002127, target_angle: 0.008057, newest_measurement_index: 5826, sent_torque: 0.033782, measured_torque: 0.020434
joint id: 8, measured_angle: 0.025316, target_angle: 0.019421, newest_measurement_index: 5826, sent_torque: -0.016198, measured_torque: -0.018319
joint id: 0, measured_angle: 0.024654, target_angle: 0.030954, newest_measurement_index: 6036, sent_torque: 0.018000, measured_torque: 0.010230
joint id: 1, measured_angle: -0.020488, target_angle: -0.014258, newest_measurement_index: 6099, sent_torque: 0.017791, measured_torque: 0.024263
joint id: 2, measured_angle: -0.004727, target_angle: -0.010922, newest_measurement_index: 6099, sent_torque: -0.017791, measured_torque: -0.010628
joint id: 3, measured_angle: -0.009818, target_angle: -0.003657, newest_measurement_index: 6073, sent_torque: 0.017582, measured_torque: 0.020756
joint id: 4, measured_angle: -0.008981, target_angle: -0.002855, newest_measurement_index: 6151, sent_torque: 0.017141, measured_torque: 0.007538
joint id: 5, measured_angle: 0.015901, target_angle: 0.009880, newest_measurement_index: 6151, sent_torque: -0.017262, measured_torque: -0.008598
joint id: 6, measured_angle: 0.009640, target_angle: 0.015626, newest_measurement_index: 5763, sent_torque: 0.034117, measured_torque: 0.020566
joint id: 7, measured_angle: 0.002127, target_angle: 0.008357, newest_measurement_index: 5828, sent_torque: 0.035582, measured_torque: 0.028807
joint id: 8, measured_angle: 0.025316, target_angle: 0.019121, newest_measurement_index: 5828, sent_torque: -0.017098, measured_torque: -0.012277
joint id: 0, measured_angle: 0.024654, target_angle: 0.031254, newest_measurement_index: 6038, sent_torque: 0.018900, measured_torque: 0.010973
joint id: 1, measured_angle: -0.020488, target_angle: -0.013958, newest_measurement_index: 6099, sent_torque: 0.018691, measured_torque: 0.024263
joint id: 2, measured_angle: -0.004727, target_angle: -0.011222, newest_measurement_index: 6099, sent_torque: -0.017914, measured_torque: -0.010628
joint id: 3, measured_angle: -0.009783, target_angle: -0.003357, newest_measurement_index: 6074, sent_torque: 0.018482, measured_torque: 0.012392
joint id: 4, measured_angle: -0.008946, target_angle: -0.002555, newest_measurement_index: 6152, sent_torque: 0.018332, measured_torque: 0.020479
joint id: 5, measured_angle: 0.015901, target_angle: 0.009580, newest_measurement_index: 6152, sent_torque: -0.017390, measured_torque: -0.013416
joint id: 6, measured_angle: 0.010391, target_angle: 0.015926, newest_measurement_index: 5764, sent_torque: 0.035917, measured_torque: 0.020566
joint id: 7, measured_angle: 0.002162, target_angle: 0.008657, newest_measurement_index: 5829, sent_torque: 0.037382, measured_torque: 0.035097
joint id: 8, measured_angle: 0.025316, target_angle: 0.018821, newest_measurement_index: 5829, sent_torque: -0.018585, measured_torque: -0.009271
joint id: 0, measured_angle: 0.024654, target_angle: 0.031554, newest_measurement_index: 6038, sent_torque: 0.019800, measured_torque: 0.010973
joint id: 1, measured_angle: -0.020488, target_angle: -0.013658, newest_measurement_index: 6100, sent_torque: 0.019591, measured_torque: 0.007636
joint id: 2, measured_angle: -0.004727, target_angle: -0.011522, newest_measurement_index: 6100, sent_torque: -0.018814, measured_torque: -0.054146
joint id: 3, measured_angle: -0.009783, target_angle: -0.003057, newest_measurement_index: 6075, sent_torque: 0.018623, measured_torque: 0.017215
joint id: 4, measured_angle: -0.008946, target_angle: -0.002255, newest_measurement_index: 6153, sent_torque: 0.018256, measured_torque: 0.014798
joint id: 5, measured_angle: 0.015866, target_angle: 0.009280, newest_measurement_index: 6153, sent_torque: -0.018885, measured_torque: -0.019229
joint id: 6, measured_angle: 0.010391, target_angle: 0.016226, newest_measurement_index: 5765, sent_torque: 0.028078, measured_torque: 0.030626
joint id: 7, measured_angle: 0.002162, target_angle: 0.008957, newest_measurement_index: 5829, sent_torque: 0.038734, measured_torque: 0.035097
joint id: 8, measured_angle: 0.025316, target_angle: 0.018521, newest_measurement_index: 5829, sent_torque: -0.019486, measured_torque: -0.009271
