joint id: 0, measured_angle: -0.000716, target_angle: -0.000416, newest_measurement_index: 11190, sent_torque: 0.000000, measured_torque: -0.000211
joint id: 0, measured_angle: -0.000716, target_angle: 0.001084, newest_measurement_index: 11194, sent_torque: 0.004500, measured_torque: 0.000003
joint id: 1, measured_angle: 0.107200, target_angle: 0.109035, newest_measurement_index: 11246, sent_torque: 0.004606, measured_torque: 0.000233
joint id: 2, measured_angle: -0.003262, target_angle: -0.005062, newest_measurement_index: 11246, sent_torque: -0.004500, measured_torque: 0.000442
joint id: 3, measured_angle: -0.001937, target_angle: -0.000172, newest_measurement_index: 11305, sent_torque: 0.004309, measured_torque: 0.002218
joint id: 4, measured_angle: -0.107335, target_angle: -0.105535, newest_measurement_index: 11398, sent_torque: 0.004500, measured_torque: 0.002243
joint id: 5, measured_angle: -0.002355, target_angle: -0.004155, newest_measurement_index: 11398, sent_torque: -0.004500, measured_torque: -0.001811
joint id: 6, measured_angle: -0.059068, target_angle: -0.057303, newest_measurement_index: 10917, sent_torque: 0.009000, measured_torque: 0.002713
joint id: 7, measured_angle: -0.040922, target_angle: -0.039122, newest_measurement_index: 10982, sent_torque: 0.009000, measured_torque: 0.007451
joint id: 8, measured_angle: -0.000298, target_angle: -0.002098, newest_measurement_index: 10982, sent_torque: -0.004500, measured_torque: -0.000735
joint id: 0, measured_angle: -0.000716, target_angle: 0.001384, newest_measurement_index: 11195, sent_torque: 0.005400, measured_torque: 0.002067
joint id: 1, measured_angle: 0.107235, target_angle: 0.109335, newest_measurement_index: 11248, sent_torque: 0.005506, measured_torque: 0.016847
joint id: 2, measured_angle: -0.003262, target_angle: -0.005362, newest_measurement_index: 11248, sent_torque: -0.005400, measured_torque: -0.009560
joint id: 3, measured_angle: -0.001937, target_angle: 0.000128, newest_measurement_index: 11306, sent_torque: 0.005293, measured_torque: 0.003984
joint id: 4, measured_angle: -0.107335, target_angle: -0.105235, newest_measurement_index: 11399, sent_torque: 0.005400, measured_torque: 0.008661
joint id: 5, measured_angle: -0.002355, target_angle: -0.004455, newest_measurement_index: 11399, sent_torque: -0.005400, measured_torque: -0.004993
joint id: 6, measured_angle: -0.058999, target_angle: -0.057003, newest_measurement_index: 10919, sent_torque: 0.009937, measured_torque: 0.009091
joint id: 7, measured_angle: -0.040922, target_angle: -0.038822, newest_measurement_index: 10984, sent_torque: 0.010800, measured_torque: 0.000091
joint id: 8, measured_angle: -0.000298, target_angle: -0.002398, newest_measurement_index: 10984, sent_torque: -0.005400, measured_torque: 0.000749
joint id: 0, measured_angle: -0.000716, target_angle: 0.001684, newest_measurement_index: 11196, sent_torque: 0.006300, measured_torque: -0.003735
joint id: 1, measured_angle: 0.107235, target_angle: 0.109635, newest_measurement_index: 11249, sent_torque: 0.005385, measured_torque: 0.002780
joint id: 2, measured_angle: -0.003262, target_angle: -0.005662, newest_measurement_index: 11249, sent_torque: -0.006300, measured_torque: -0.006701
joint id: 3, measured_angle: -0.001937, target_angle: 0.000428, newest_measurement_index: 11307, sent_torque: 0.006196, measured_torque: 0.000331
joint id: 4, measured_angle: -0.107335, target_angle: -0.104935, newest_measurement_index: 11400, sent_torque: 0.006300, measured_torque: 0.001504
joint id: 5, measured_angle: -0.002355, target_angle: -0.004755, newest_measurement_index: 11400, sent_torque: -0.006300, measured_torque: -0.011360
joint id: 6, measured_angle: -0.058999, target_angle: -0.056703, newest_measurement_index: 10920, sent_torque: 0.010669, measured_torque: 0.010702
joint id: 7, measured_angle: -0.040888, target_angle: -0.038522, newest_measurement_index: 10985, sent_torque: 0.012600, measured_torque: 0.000779
joint id: 8, measured_angle: -0.000298, target_angle: -0.002698, newest_measurement_index: 10985, sent_torque: -0.006300, measured_torque: 0.025191
joint id: 0, measured_angle: -0.000716, target_angle: 0.001984, newest_measurement_index: 11197, sent_torque: 0.007200, measured_torque: 0.004559
joint id: 1, measured_angle: 0.107270, target_angle: 0.109935, newest_measurement_index: 11250, sent_torque: 0.007169, measured_torque: 0.007550
joint id: 2, measured_angle: -0.003297, target_angle: -0.005962, newest_measurement_index: 11250, sent_torque: -0.007200, measured_torque: 0.002352
joint id: 3, measured_angle: -0.001902, target_angle: 0.000728, newest_measurement_index: 11308, sent_torque: 0.007096, measured_torque: 0.005307
joint id: 4, measured_angle: -0.107300, target_angle: -0.104635, newest_measurement_index: 11401, sent_torque: 0.007200, measured_torque: 0.007182
joint id: 5, measured_angle: -0.002355, target_angle: -0.005055, newest_measurement_index: 11401, sent_torque: -0.007200, measured_torque: -0.001811
joint id: 6, measured_angle: -0.058999, target_angle: -0.056403, newest_measurement_index: 10920, sent_torque: 0.012980, measured_torque: 0.010702
joint id: 7, measured_angle: -0.040888, target_angle: -0.038222, newest_measurement_index: 10985, sent_torque: 0.013538, measured_torque: 0.000779
joint id: 8, measured_angle: -0.000298, target_angle: -0.002998, newest_measurement_index: 10986, sent_torque: -0.007200, measured_torque: -0.001642
joint id: 0, measured_angle: -0.000716, target_angle: 0.002284, newest_measurement_index: 11198, sent_torque: 0.008100, measured_torque: 0.005804
joint id: 1, measured_angle: 0.107270, target_angle: 0.110235, newest_measurement_index: 11251, sent_torque: 0.007824, measured_torque: 0.005528
joint id: 2, measured_angle: -0.003332, target_angle: -0.006262, newest_measurement_index: 11251, sent_torque: -0.007695, measured_torque: -0.008438
joint id: 3, measured_angle: -0.001902, target_angle: 0.001028, newest_measurement_index: 11309, sent_torque: 0.007721, measured_torque: 0.001936
joint id: 4, measured_angle: -0.107300, target_angle: -0.104335, newest_measurement_index: 11402, sent_torque: 0.007248, measured_torque: 0.006383
joint id: 5, measured_angle: -0.002355, target_angle: -0.005355, newest_measurement_index: 11402, sent_torque: -0.008100, measured_torque: -0.006153
joint id: 6, measured_angle: -0.058929, target_angle: -0.056103, newest_measurement_index: 10921, sent_torque: 0.015509, measured_torque: 0.007492
joint id: 7, measured_angle: -0.040888, target_angle: -0.037922, newest_measurement_index: 10986, sent_torque: 0.015338, measured_torque: 0.007385
joint id: 8, measured_angle: -0.000298, target_angle: -0.003298, newest_measurement_index: 10986, sent_torque: -0.008100, measured_torque: -0.005292
joint id: 0, measured_angle: -0.000716, target_angle: 0.002584, newest_measurement_index: 11198, sent_torque: 0.009000, measured_torque: 0.005804
joint id: 1, measured_angle: 0.107270, target_angle: 0.110535, newest_measurement_index: 11252, sent_torque: 0.008890, measured_torque: 0.007824
joint id: 2, measured_angle: -0.003332, target_angle: -0.006562, newest_measurement_index: 11252, sent_torque: -0.007623, measured_torque: -0.004458
joint id: 3, measured_angle: -0.001902, target_angle: 0.001328, newest_measurement_index: 11310, sent_torque: 0.008785, measured_torque: 0.010457
joint id: 4, measured_angle: -0.107300, target_angle: -0.104035, newest_measurement_index: 11403, sent_torque: 0.008834, measured_torque: 0.012301
joint id: 5, measured_angle: -0.002355, target_angle: -0.005655, newest_measurement_index: 11403, sent_torque: -0.009000, measured_torque: -0.011419
joint id: 6, measured_angle: -0.058859, target_angle: -0.055803, newest_measurement_index: 10923, sent_torque: 0.016118, measured_torque: 0.014704
joint id: 7, measured_angle: -0.040853, target_angle: -0.037622, newest_measurement_index: 10988, sent_torque: 0.017769, measured_torque: 0.010627
joint id: 8, measured_angle: -0.000368, target_angle: -0.003598, newest_measurement_index: 10988, sent_torque: -0.009000, measured_torque: -0.002959
joint id: 0, measured_angle: -0.000716, target_angle: 0.002884, newest_measurement_index: 11200, sent_torque: 0.009900, measured_torque: 0.006125
joint id: 1, measured_angle: 0.107270, target_angle: 0.110835, newest_measurement_index: 11253, sent_torque: 0.009795, measured_torque: 0.006949
joint id: 2, measured_angle: -0.003332, target_angle: -0.006862, newest_measurement_index: 11253, sent_torque: -0.009634, measured_torque: -0.002123
joint id: 3, measured_angle: -0.001867, target_angle: 0.001628, newest_measurement_index: 11311, sent_torque: 0.009691, measured_torque: 0.012348
joint id: 4, measured_angle: -0.107300, target_angle: -0.103735, newest_measurement_index: 11404, sent_torque: 0.009793, measured_torque: 0.010201
joint id: 5, measured_angle: -0.002390, target_angle: -0.005955, newest_measurement_index: 11404, sent_torque: -0.009900, measured_torque: -0.003162
joint id: 6, measured_angle: -0.058859, target_angle: -0.055503, newest_measurement_index: 10923, sent_torque: 0.018270, measured_torque: 0.014937
joint id: 7, measured_angle: -0.040853, target_angle: -0.037322, newest_measurement_index: 10989, sent_torque: 0.019144, measured_torque: 0.013056
joint id: 8, measured_angle: -0.000368, target_angle: -0.003898, newest_measurement_index: 10989, sent_torque: -0.008530, measured_torque: -0.004068
joint id: 0, measured_angle: -0.000716, target_angle: 0.003184, newest_measurement_index: 11201, sent_torque: 0.010800, measured_torque: 0.018655
joint id: 1, measured_angle: 0.107270, target_angle: 0.111135, newest_measurement_index: 11254, sent_torque: 0.010695, measured_torque: 0.002777
joint id: 2, measured_angle: -0.003332, target_angle: -0.007162, newest_measurement_index: 11254, sent_torque: -0.010588, measured_torque: -0.005334
joint id: 3, measured_angle: -0.001867, target_angle: 0.001928, newest_measurement_index: 11312, sent_torque: 0.010316, measured_torque: 0.006554
joint id: 4, measured_angle: -0.107266, target_angle: -0.103435, newest_measurement_index: 11405, sent_torque: 0.010695, measured_torque: 0.006660
joint id: 5, measured_angle: -0.002390, target_angle: -0.006255, newest_measurement_index: 11405, sent_torque: -0.010481, measured_torque: -0.010728
joint id: 6, measured_angle: -0.058824, target_angle: -0.055203, newest_measurement_index: 10925, sent_torque: 0.019299, measured_torque: 0.016680
joint id: 7, measured_angle: -0.040853, target_angle: -0.037022, newest_measurement_index: 10990, sent_torque: 0.020944, measured_torque: 0.012348
joint id: 8, measured_angle: -0.000368, target_angle: -0.004198, newest_measurement_index: 10990, sent_torque: -0.009430, measured_torque: -0.010126
joint id: 0, measured_angle: -0.000716, target_angle: 0.003484, newest_measurement_index: 11202, sent_torque: 0.011700, measured_torque: 0.011927
joint id: 1, measured_angle: 0.107270, target_angle: 0.111435, newest_measurement_index: 11255, sent_torque: 0.011595, measured_torque: 0.011267
joint id: 2, measured_angle: -0.003332, target_angle: -0.007462, newest_measurement_index: 11255, sent_torque: -0.011491, measured_torque: 0.000603
joint id: 3, measured_angle: -0.001832, target_angle: 0.002228, newest_measurement_index: 11313, sent_torque: 0.011381, measured_torque: 0.010832
joint id: 4, measured_angle: -0.107266, target_angle: -0.103135, newest_measurement_index: 11406, sent_torque: 0.011404, measured_torque: 0.014093
joint id: 5, measured_angle: -0.002425, target_angle: -0.006555, newest_measurement_index: 11406, sent_torque: -0.011585, measured_torque: -0.007349
joint id: 6, measured_angle: -0.058824, target_angle: -0.054903, newest_measurement_index: 10925, sent_torque: 0.021554, measured_torque: 0.016680
joint id: 7, measured_angle: -0.040853, target_angle: -0.036722, newest_measurement_index: 10991, sent_torque: 0.022982, measured_torque: 0.015694
joint id: 8, measured_angle: -0.000403, target_angle: -0.004498, newest_measurement_index: 10991, sent_torque: -0.011488, measured_torque: -0.006393
joint id: 0, measured_angle: -0.000716, target_angle: 0.003784, newest_measurement_index: 11202, sent_torque: 0.012600, measured_torque: 0.011927
joint id: 1, measured_angle: 0.107270, target_angle: 0.111735, newest_measurement_index: 11256, sent_torque: 0.012495, measured_torque: 0.010211
joint id: 2, measured_angle: -0.003332, target_angle: -0.007762, newest_measurement_index: 11256, sent_torque: -0.012391, measured_torque: -0.004944
joint id: 3, measured_angle: -0.001797, target_angle: 0.002528, newest_measurement_index: 11314, sent_torque: 0.012060, measured_torque: 0.007175
joint id: 4, measured_angle: -0.107231, target_angle: -0.102835, newest_measurement_index: 11407, sent_torque: 0.012388, measured_torque: 0.009124
joint id: 5, measured_angle: -0.002425, target_angle: -0.006855, newest_measurement_index: 11407, sent_torque: -0.011802, measured_torque: -0.010471
joint id: 6, measured_angle: -0.058824, target_angle: -0.054603, newest_measurement_index: 10926, sent_torque: 0.023354, measured_torque: 0.018970
joint id: 7, measured_angle: -0.040818, target_angle: -0.036422, newest_measurement_index: 10992, sent_torque: 0.024782, measured_torque: 0.019043
joint id: 8, measured_angle: -0.000403, target_angle: -0.004798, newest_measurement_index: 10992, sent_torque: -0.012177, measured_torque: -0.010068
joint id: 0, measured_angle: -0.000716, target_angle: 0.004084, newest_measurement_index: 11204, sent_torque: 0.013500, measured_torque: 0.010361
joint id: 1, measured_angle: 0.107270, target_angle: 0.112035, newest_measurement_index: 11257, sent_torque: 0.013395, measured_torque: 0.010211
joint id: 2, measured_angle: -0.003332, target_angle: -0.008062, newest_measurement_index: 11257, sent_torque: -0.013291, measured_torque: -0.004944
joint id: 3, measured_angle: -0.001797, target_angle: 0.002828, newest_measurement_index: 11315, sent_torque: 0.012506, measured_torque: 0.012111
joint id: 4, measured_angle: -0.107231, target_angle: -0.102535, newest_measurement_index: 11408, sent_torque: 0.012948, measured_torque: 0.021786
joint id: 5, measured_angle: -0.002425, target_angle: -0.007155, newest_measurement_index: 11408, sent_torque: -0.013262, measured_torque: -0.007445
joint id: 6, measured_angle: -0.058755, target_angle: -0.054303, newest_measurement_index: 10928, sent_torque: 0.025320, measured_torque: 0.024890
joint id: 7, measured_angle: -0.040818, target_angle: -0.036122, newest_measurement_index: 10993, sent_torque: 0.026373, measured_torque: 0.028381
joint id: 8, measured_angle: -0.000403, target_angle: -0.005098, newest_measurement_index: 10993, sent_torque: -0.013077, measured_torque: -0.011293
joint id: 0, measured_angle: -0.000716, target_angle: 0.004384, newest_measurement_index: 11205, sent_torque: 0.014400, measured_torque: 0.007370
joint id: 1, measured_angle: 0.107305, target_angle: 0.112335, newest_measurement_index: 11258, sent_torque: 0.014295, measured_torque: 0.007547
joint id: 2, measured_angle: -0.003367, target_angle: -0.008362, newest_measurement_index: 11258, sent_torque: -0.014191, measured_torque: -0.013016
joint id: 3, measured_angle: -0.001763, target_angle: 0.003128, newest_measurement_index: 11316, sent_torque: 0.013861, measured_torque: 0.010306
joint id: 4, measured_angle: -0.107196, target_angle: -0.102235, newest_measurement_index: 11409, sent_torque: 0.014078, measured_torque: 0.011018
joint id: 5, measured_angle: -0.002425, target_angle: -0.007455, newest_measurement_index: 11409, sent_torque: -0.014189, measured_torque: -0.012066
joint id: 6, measured_angle: -0.058720, target_angle: -0.054003, newest_measurement_index: 10929, sent_torque: 0.026237, measured_torque: 0.025972
joint id: 7, measured_angle: -0.040783, target_angle: -0.035822, newest_measurement_index: 10994, sent_torque: 0.028141, measured_torque: 0.024457
joint id: 8, measured_angle: -0.000403, target_angle: -0.005398, newest_measurement_index: 10994, sent_torque: -0.014086, measured_torque: -0.013382
joint id: 0, measured_angle: -0.000716, target_angle: 0.004684, newest_measurement_index: 11206, sent_torque: 0.015300, measured_torque: 0.004132
joint id: 1, measured_angle: 0.107305, target_angle: 0.112635, newest_measurement_index: 11259, sent_torque: 0.014757, measured_torque: 0.010703
joint id: 2, measured_angle: -0.003367, target_angle: -0.008662, newest_measurement_index: 11259, sent_torque: -0.013833, measured_torque: -0.017711
joint id: 3, measured_angle: -0.001728, target_angle: 0.003428, newest_measurement_index: 11317, sent_torque: 0.014585, measured_torque: 0.017318
joint id: 4, measured_angle: -0.107196, target_angle: -0.101935, newest_measurement_index: 11410, sent_torque: 0.014795, measured_torque: 0.013806
joint id: 5, measured_angle: -0.002460, target_angle: -0.007755, newest_measurement_index: 11410, sent_torque: -0.015091, measured_torque: -0.016788
joint id: 6, measured_angle: -0.058720, target_angle: -0.053703, newest_measurement_index: 10929, sent_torque: 0.027001, measured_torque: 0.025972
joint id: 7, measured_angle: -0.040783, target_angle: -0.035522, newest_measurement_index: 10995, sent_torque: 0.028481, measured_torque: 0.026780
joint id: 8, measured_angle: -0.000403, target_angle: -0.005698, newest_measurement_index: 10995, sent_torque: -0.014986, measured_torque: -0.013622
joint id: 0, measured_angle: -0.000716, target_angle: 0.004984, newest_measurement_index: 11206, sent_torque: 0.016200, measured_torque: 0.004132
joint id: 1, measured_angle: 0.107340, target_angle: 0.112935, newest_measurement_index: 11260, sent_torque: 0.015979, measured_torque: 0.013874
joint id: 2, measured_angle: -0.003367, target_angle: -0.008962, newest_measurement_index: 11260, sent_torque: -0.015830, measured_torque: -0.011776
joint id: 3, measured_angle: -0.001728, target_angle: 0.003728, newest_measurement_index: 11318, sent_torque: 0.014811, measured_torque: 0.010289
joint id: 4, measured_angle: -0.107196, target_angle: -0.101635, newest_measurement_index: 11411, sent_torque: 0.015779, measured_torque: 0.010264
joint id: 5, measured_angle: -0.002460, target_angle: -0.008055, newest_measurement_index: 11411, sent_torque: -0.014733, measured_torque: -0.008428
joint id: 6, measured_angle: -0.058720, target_angle: -0.053403, newest_measurement_index: 10930, sent_torque: 0.028801, measured_torque: 0.024567
joint id: 7, measured_angle: -0.040783, target_angle: -0.035222, newest_measurement_index: 10996, sent_torque: 0.031519, measured_torque: 0.020361
joint id: 8, measured_angle: -0.000403, target_angle: -0.005998, newest_measurement_index: 10996, sent_torque: -0.015886, measured_torque: -0.017177
joint id: 0, measured_angle: -0.000716, target_angle: 0.005284, newest_measurement_index: 11208, sent_torque: 0.017100, measured_torque: 0.013885
joint id: 1, measured_angle: 0.107374, target_angle: 0.113235, newest_measurement_index: 11261, sent_torque: 0.016699, measured_torque: 0.013874
joint id: 2, measured_angle: -0.003401, target_angle: -0.009262, newest_measurement_index: 11261, sent_torque: -0.016783, measured_torque: -0.011776
joint id: 3, measured_angle: -0.001728, target_angle: 0.004028, newest_measurement_index: 11319, sent_torque: 0.016345, measured_torque: 0.015781
joint id: 4, measured_angle: -0.107196, target_angle: -0.101335, newest_measurement_index: 11412, sent_torque: 0.016682, measured_torque: 0.014480
joint id: 5, measured_angle: -0.002460, target_angle: -0.008355, newest_measurement_index: 11412, sent_torque: -0.016730, measured_torque: -0.015468
joint id: 6, measured_angle: -0.058650, target_angle: -0.053103, newest_measurement_index: 10932, sent_torque: 0.031854, measured_torque: 0.020038
joint id: 7, measured_angle: -0.040748, target_angle: -0.034922, newest_measurement_index: 10997, sent_torque: 0.033319, measured_torque: 0.023443
joint id: 8, measured_angle: -0.000403, target_angle: -0.006298, newest_measurement_index: 10997, sent_torque: -0.016786, measured_torque: -0.025932
joint id: 0, measured_angle: -0.000716, target_angle: 0.005584, newest_measurement_index: 11209, sent_torque: 0.018000, measured_torque: 0.014917
joint id: 1, measured_angle: 0.107374, target_angle: 0.113535, newest_measurement_index: 11262, sent_torque: 0.017340, measured_torque: 0.019569
joint id: 2, measured_angle: -0.003436, target_angle: -0.009562, newest_measurement_index: 11262, sent_torque: -0.017428, measured_torque: -0.016744
joint id: 3, measured_angle: -0.001693, target_angle: 0.004328, newest_measurement_index: 11320, sent_torque: 0.017267, measured_torque: 0.012123
joint id: 4, measured_angle: -0.107196, target_angle: -0.101035, newest_measurement_index: 11413, sent_torque: 0.017582, measured_torque: 0.014880
joint id: 5, measured_angle: -0.002460, target_angle: -0.008655, newest_measurement_index: 11413, sent_torque: -0.017683, measured_torque: -0.010851
joint id: 6, measured_angle: -0.058650, target_angle: -0.052803, newest_measurement_index: 10932, sent_torque: 0.032529, measured_torque: 0.020038
joint id: 7, measured_angle: -0.040748, target_angle: -0.034622, newest_measurement_index: 10998, sent_torque: 0.033673, measured_torque: 0.032054
joint id: 8, measured_angle: -0.000403, target_angle: -0.006598, newest_measurement_index: 10998, sent_torque: -0.017686, measured_torque: -0.017477
joint id: 0, measured_angle: -0.000716, target_angle: 0.005884, newest_measurement_index: 11209, sent_torque: 0.018900, measured_torque: 0.014917
joint id: 1, measured_angle: 0.107409, target_angle: 0.113835, newest_measurement_index: 11264, sent_torque: 0.018473, measured_torque: 0.018431
joint id: 2, measured_angle: -0.003471, target_angle: -0.009862, newest_measurement_index: 11264, sent_torque: -0.017781, measured_torque: -0.011137
joint id: 3, measured_angle: -0.001693, target_angle: 0.004628, newest_measurement_index: 11321, sent_torque: 0.017893, measured_torque: 0.019180
joint id: 4, measured_angle: -0.107196, target_angle: -0.100735, newest_measurement_index: 11414, sent_torque: 0.018482, measured_torque: 0.016114
joint id: 5, measured_angle: -0.002495, target_angle: -0.008955, newest_measurement_index: 11414, sent_torque: -0.018586, measured_torque: -0.017891
joint id: 6, measured_angle: -0.058650, target_angle: -0.052503, newest_measurement_index: 10933, sent_torque: 0.034329, measured_torque: 0.027139
joint id: 7, measured_angle: -0.040748, target_angle: -0.034322, newest_measurement_index: 10999, sent_torque: 0.036710, measured_torque: 0.033368
joint id: 8, measured_angle: -0.000437, target_angle: -0.006898, newest_measurement_index: 10999, sent_torque: -0.018586, measured_torque: -0.020980
joint id: 0, measured_angle: -0.000716, target_angle: 0.006184, newest_measurement_index: 11211, sent_torque: 0.019800, measured_torque: 0.011500
joint id: 1, measured_angle: 0.107409, target_angle: 0.114135, newest_measurement_index: 11265, sent_torque: 0.019155, measured_torque: 0.017630
joint id: 2, measured_angle: -0.003506, target_angle: -0.010162, newest_measurement_index: 11265, sent_torque: -0.019143, measured_torque: -0.014026
joint id: 3, measured_angle: -0.001693, target_angle: 0.004928, newest_measurement_index: 11322, sent_torque: 0.018957, measured_torque: 0.017832
joint id: 4, measured_angle: -0.107161, target_angle: -0.100435, newest_measurement_index: 11415, sent_torque: 0.019382, measured_torque: 0.018799
joint id: 5, measured_angle: -0.002495, target_angle: -0.009255, newest_measurement_index: 11415, sent_torque: -0.019081, measured_torque: -0.011709
joint id: 6, measured_angle: -0.058615, target_angle: -0.052203, newest_measurement_index: 10934, sent_torque: 0.036818, measured_torque: 0.028572
joint id: 7, measured_angle: -0.040713, target_angle: -0.034022, newest_measurement_index: 11000, sent_torque: 0.038510, measured_torque: 0.047133
joint id: 8, measured_angle: -0.000437, target_angle: -0.007198, newest_measurement_index: 11000, sent_torque: -0.019381, measured_torque: -0.013747
