joint id: 0, measured_angle: -0.002390, target_angle: -0.002090, newest_measurement_index: 10850, sent_torque: 0.000000, measured_torque: 0.008535
joint id: 0, measured_angle: -0.002390, target_angle: -0.000890, newest_measurement_index: 10909, sent_torque: 0.006000, measured_torque: 0.002577
joint id: 1, measured_angle: -0.116855, target_angle: -0.115355, newest_measurement_index: 11056, sent_torque: 0.006000, measured_torque: 0.001938
joint id: 2, measured_angle: -0.002251, target_angle: -0.003751, newest_measurement_index: 11056, sent_torque: -0.006000, measured_torque: -0.002751
joint id: 3, measured_angle: 0.010896, target_angle: 0.012396, newest_measurement_index: 11186, sent_torque: 0.003600, measured_torque: 0.005145
joint id: 4, measured_angle: -0.002076, target_angle: -0.000576, newest_measurement_index: 11237, sent_torque: 0.003600, measured_torque: -0.002444
joint id: 5, measured_angle: -0.001588, target_angle: -0.003053, newest_measurement_index: 11237, sent_torque: -0.003600, measured_torque: -0.002461
joint id: 6, measured_angle: -0.001100, target_angle: 0.000400, newest_measurement_index: 10772, sent_torque: 0.007200, measured_torque: -0.000184
joint id: 7, measured_angle: -0.109060, target_angle: -0.107560, newest_measurement_index: 10823, sent_torque: 0.007200, measured_torque: 0.000691
joint id: 8, measured_angle: -0.000333, target_angle: -0.001833, newest_measurement_index: 10823, sent_torque: -0.003600, measured_torque: 0.003099
joint id: 0, measured_angle: -0.002390, target_angle: -0.000590, newest_measurement_index: 10910, sent_torque: 0.007500, measured_torque: 0.000539
joint id: 1, measured_angle: -0.116855, target_angle: -0.115055, newest_measurement_index: 11057, sent_torque: 0.007500, measured_torque: 0.001938
joint id: 2, measured_angle: -0.002251, target_angle: -0.004051, newest_measurement_index: 11057, sent_torque: -0.007500, measured_torque: -0.002751
joint id: 3, measured_angle: 0.010896, target_angle: 0.012696, newest_measurement_index: 11187, sent_torque: 0.004500, measured_torque: 0.003130
joint id: 4, measured_angle: -0.002076, target_angle: -0.000276, newest_measurement_index: 11238, sent_torque: 0.004500, measured_torque: 0.002436
joint id: 5, measured_angle: -0.001588, target_angle: -0.003353, newest_measurement_index: 11238, sent_torque: -0.004095, measured_torque: -0.002343
joint id: 6, measured_angle: -0.001100, target_angle: 0.000700, newest_measurement_index: 10773, sent_torque: 0.009000, measured_torque: 0.003297
joint id: 7, measured_angle: -0.109060, target_angle: -0.107260, newest_measurement_index: 10824, sent_torque: 0.009000, measured_torque: 0.004962
joint id: 8, measured_angle: -0.000333, target_angle: -0.002133, newest_measurement_index: 10824, sent_torque: -0.004500, measured_torque: 0.000808
joint id: 0, measured_angle: -0.002390, target_angle: -0.000290, newest_measurement_index: 10911, sent_torque: 0.009000, measured_torque: -0.003811
joint id: 1, measured_angle: -0.116855, target_angle: -0.114755, newest_measurement_index: 11058, sent_torque: 0.009000, measured_torque: 0.005848
joint id: 2, measured_angle: -0.002251, target_angle: -0.004351, newest_measurement_index: 11058, sent_torque: -0.009000, measured_torque: -0.008388
joint id: 3, measured_angle: 0.010896, target_angle: 0.012996, newest_measurement_index: 11188, sent_torque: 0.005400, measured_torque: 0.004610
joint id: 4, measured_angle: -0.002076, target_angle: 0.000024, newest_measurement_index: 11239, sent_torque: 0.005400, measured_torque: 0.003233
joint id: 5, measured_angle: -0.001588, target_angle: -0.003653, newest_measurement_index: 11239, sent_torque: -0.005281, measured_torque: -0.003286
joint id: 6, measured_angle: -0.001065, target_angle: 0.001000, newest_measurement_index: 10774, sent_torque: 0.010800, measured_torque: -0.000186
joint id: 7, measured_angle: -0.109060, target_angle: -0.106960, newest_measurement_index: 10825, sent_torque: 0.010800, measured_torque: 0.000067
joint id: 8, measured_angle: -0.000333, target_angle: -0.002433, newest_measurement_index: 10825, sent_torque: -0.005400, measured_torque: -0.000511
joint id: 0, measured_angle: -0.002390, target_angle: 0.000010, newest_measurement_index: 10912, sent_torque: 0.010500, measured_torque: 0.003832
joint id: 1, measured_angle: -0.116855, target_angle: -0.114455, newest_measurement_index: 11058, sent_torque: 0.010500, measured_torque: 0.005848
joint id: 2, measured_angle: -0.002251, target_angle: -0.004651, newest_measurement_index: 11058, sent_torque: -0.010500, measured_torque: -0.008388
joint id: 3, measured_angle: 0.010896, target_angle: 0.013296, newest_measurement_index: 11189, sent_torque: 0.006300, measured_torque: -0.000517
joint id: 4, measured_angle: -0.002076, target_angle: 0.000324, newest_measurement_index: 11240, sent_torque: 0.006300, measured_torque: -0.001431
joint id: 5, measured_angle: -0.001588, target_angle: -0.003953, newest_measurement_index: 11240, sent_torque: -0.006195, measured_torque: -0.005172
joint id: 6, measured_angle: -0.001030, target_angle: 0.001300, newest_measurement_index: 10775, sent_torque: 0.012270, measured_torque: 0.009972
joint id: 7, measured_angle: -0.109060, target_angle: -0.106660, newest_measurement_index: 10826, sent_torque: 0.012600, measured_torque: 0.005857
joint id: 8, measured_angle: -0.000333, target_angle: -0.002733, newest_measurement_index: 10826, sent_torque: -0.006300, measured_torque: 0.000758
joint id: 0, measured_angle: -0.002390, target_angle: 0.000310, newest_measurement_index: 10912, sent_torque: 0.012000, measured_torque: 0.003832
joint id: 1, measured_angle: -0.116820, target_angle: -0.114155, newest_measurement_index: 11060, sent_torque: 0.012000, measured_torque: 0.007077
joint id: 2, measured_angle: -0.002286, target_angle: -0.004951, newest_measurement_index: 11060, sent_torque: -0.012000, measured_torque: -0.003060
joint id: 3, measured_angle: 0.010896, target_angle: 0.013596, newest_measurement_index: 11190, sent_torque: 0.007200, measured_torque: 0.004967
joint id: 4, measured_angle: -0.002076, target_angle: 0.000624, newest_measurement_index: 11241, sent_torque: 0.007200, measured_torque: 0.000287
joint id: 5, measured_angle: -0.001588, target_angle: -0.004253, newest_measurement_index: 11241, sent_torque: -0.007095, measured_torque: 0.004845
joint id: 6, measured_angle: -0.000995, target_angle: 0.001600, newest_measurement_index: 10776, sent_torque: 0.013324, measured_torque: 0.010753
joint id: 7, measured_angle: -0.109060, target_angle: -0.106360, newest_measurement_index: 10827, sent_torque: 0.014400, measured_torque: 0.011544
joint id: 8, measured_angle: -0.000333, target_angle: -0.003033, newest_measurement_index: 10827, sent_torque: -0.007200, measured_torque: -0.005292
joint id: 0, measured_angle: -0.002390, target_angle: 0.000610, newest_measurement_index: 10913, sent_torque: 0.013500, measured_torque: 0.011484
joint id: 1, measured_angle: -0.116785, target_angle: -0.113855, newest_measurement_index: 11061, sent_torque: 0.013294, measured_torque: 0.004291
joint id: 2, measured_angle: -0.002320, target_angle: -0.005251, newest_measurement_index: 11061, sent_torque: -0.013026, measured_torque: -0.010376
joint id: 3, measured_angle: 0.010896, target_angle: 0.013896, newest_measurement_index: 11191, sent_torque: 0.008100, measured_torque: 0.000401
joint id: 4, measured_angle: -0.002076, target_angle: 0.000924, newest_measurement_index: 11242, sent_torque: 0.008100, measured_torque: 0.006578
joint id: 5, measured_angle: -0.001588, target_angle: -0.004553, newest_measurement_index: 11242, sent_torque: -0.007995, measured_torque: -0.002108
joint id: 6, measured_angle: -0.000961, target_angle: 0.001900, newest_measurement_index: 10777, sent_torque: 0.014269, measured_torque: 0.017154
joint id: 7, measured_angle: -0.109025, target_angle: -0.106060, newest_measurement_index: 10828, sent_torque: 0.016200, measured_torque: 0.008967
joint id: 8, measured_angle: -0.000333, target_angle: -0.003333, newest_measurement_index: 10828, sent_torque: -0.008100, measured_torque: -0.007782
joint id: 0, measured_angle: -0.002320, target_angle: 0.000910, newest_measurement_index: 10914, sent_torque: 0.015000, measured_torque: 0.011207
joint id: 1, measured_angle: -0.116785, target_angle: -0.113555, newest_measurement_index: 11062, sent_torque: 0.013736, measured_torque: 0.010137
joint id: 2, measured_angle: -0.002320, target_angle: -0.005551, newest_measurement_index: 11062, sent_torque: -0.013484, measured_torque: -0.008698
joint id: 3, measured_angle: 0.010896, target_angle: 0.014196, newest_measurement_index: 11192, sent_torque: 0.009000, measured_torque: 0.009149
joint id: 4, measured_angle: -0.002076, target_angle: 0.001224, newest_measurement_index: 11243, sent_torque: 0.009000, measured_torque: 0.009524
joint id: 5, measured_angle: -0.001588, target_angle: -0.004853, newest_measurement_index: 11243, sent_torque: -0.008895, measured_torque: -0.005408
joint id: 6, measured_angle: -0.000926, target_angle: 0.002200, newest_measurement_index: 10778, sent_torque: 0.015860, measured_torque: 0.034127
joint id: 7, measured_angle: -0.109025, target_angle: -0.105760, newest_measurement_index: 10829, sent_torque: 0.016510, measured_torque: 0.013899
joint id: 8, measured_angle: -0.000333, target_angle: -0.003633, newest_measurement_index: 10829, sent_torque: -0.009000, measured_torque: -0.007680
joint id: 0, measured_angle: -0.002286, target_angle: 0.001210, newest_measurement_index: 10915, sent_torque: 0.014854, measured_torque: 0.009849
joint id: 1, measured_angle: -0.116785, target_angle: -0.113255, newest_measurement_index: 11062, sent_torque: 0.016120, measured_torque: 0.010137
joint id: 2, measured_angle: -0.002320, target_angle: -0.005851, newest_measurement_index: 11062, sent_torque: -0.016095, measured_torque: -0.008698
joint id: 3, measured_angle: 0.010896, target_angle: 0.014496, newest_measurement_index: 11193, sent_torque: 0.009900, measured_torque: 0.002238
joint id: 4, measured_angle: -0.002042, target_angle: 0.001524, newest_measurement_index: 11244, sent_torque: 0.009900, measured_torque: 0.006256
joint id: 5, measured_angle: -0.001588, target_angle: -0.005153, newest_measurement_index: 11244, sent_torque: -0.009795, measured_torque: -0.025677
joint id: 6, measured_angle: -0.000926, target_angle: 0.002500, newest_measurement_index: 10778, sent_torque: 0.017428, measured_torque: 0.034127
joint id: 7, measured_angle: -0.108990, target_angle: -0.105460, newest_measurement_index: 10830, sent_torque: 0.019547, measured_torque: 0.013899
joint id: 8, measured_angle: -0.000368, target_angle: -0.003933, newest_measurement_index: 10830, sent_torque: -0.009900, measured_torque: -0.007680
joint id: 0, measured_angle: -0.002286, target_angle: 0.001510, newest_measurement_index: 10915, sent_torque: 0.016151, measured_torque: 0.009849
joint id: 1, measured_angle: -0.116716, target_angle: -0.112955, newest_measurement_index: 11064, sent_torque: 0.017620, measured_torque: 0.011822
joint id: 2, measured_angle: -0.002390, target_angle: -0.006151, newest_measurement_index: 11064, sent_torque: -0.017595, measured_torque: -0.006102
joint id: 3, measured_angle: 0.010896, target_angle: 0.014796, newest_measurement_index: 11194, sent_torque: 0.010800, measured_torque: 0.007695
joint id: 4, measured_angle: -0.002007, target_angle: 0.001824, newest_measurement_index: 11245, sent_torque: 0.010609, measured_torque: 0.006594
joint id: 5, measured_angle: -0.001588, target_angle: -0.005453, newest_measurement_index: 11245, sent_torque: -0.010695, measured_torque: -0.008486
joint id: 6, measured_angle: -0.000891, target_angle: 0.002800, newest_measurement_index: 10780, sent_torque: 0.019227, measured_torque: 0.007608
joint id: 7, measured_angle: -0.108990, target_angle: -0.105160, newest_measurement_index: 10831, sent_torque: 0.020527, measured_torque: 0.012568
joint id: 8, measured_angle: -0.000368, target_angle: -0.004233, newest_measurement_index: 10831, sent_torque: -0.010586, measured_torque: -0.007735
joint id: 0, measured_angle: -0.002216, target_angle: 0.001810, newest_measurement_index: 10917, sent_torque: 0.017651, measured_torque: 0.009557
joint id: 1, measured_angle: -0.116681, target_angle: -0.112655, newest_measurement_index: 11065, sent_torque: 0.018632, measured_torque: 0.020146
joint id: 2, measured_angle: -0.002425, target_angle: -0.006451, newest_measurement_index: 11065, sent_torque: -0.018691, measured_torque: -0.016233
joint id: 3, measured_angle: 0.010896, target_angle: 0.015096, newest_measurement_index: 11195, sent_torque: 0.011700, measured_torque: 0.006599
joint id: 4, measured_angle: -0.002007, target_angle: 0.002124, newest_measurement_index: 11246, sent_torque: 0.010834, measured_torque: 0.006594
joint id: 5, measured_angle: -0.001623, target_angle: -0.005753, newest_measurement_index: 11246, sent_torque: -0.011595, measured_torque: -0.012139
joint id: 6, measured_angle: -0.000856, target_angle: 0.003100, newest_measurement_index: 10781, sent_torque: 0.022099, measured_torque: 0.015472
joint id: 7, measured_angle: -0.108990, target_angle: -0.104860, newest_measurement_index: 10832, sent_torque: 0.022959, measured_torque: 0.017591
joint id: 8, measured_angle: -0.000403, target_angle: -0.004533, newest_measurement_index: 10832, sent_torque: -0.011590, measured_torque: -0.008903
joint id: 0, measured_angle: -0.002181, target_angle: 0.002110, newest_measurement_index: 10918, sent_torque: 0.018802, measured_torque: 0.003230
joint id: 1, measured_angle: -0.116681, target_angle: -0.112355, newest_measurement_index: 11065, sent_torque: 0.019787, measured_torque: 0.020146
joint id: 2, measured_angle: -0.002425, target_angle: -0.006751, newest_measurement_index: 11065, sent_torque: -0.018968, measured_torque: -0.016233
joint id: 3, measured_angle: 0.010896, target_angle: 0.015396, newest_measurement_index: 11196, sent_torque: 0.012600, measured_torque: 0.011343
joint id: 4, measured_angle: -0.001972, target_angle: 0.002424, newest_measurement_index: 11247, sent_torque: 0.012368, measured_torque: -0.001269
joint id: 5, measured_angle: -0.001623, target_angle: -0.006053, newest_measurement_index: 11247, sent_torque: -0.012238, measured_torque: -0.010608
joint id: 6, measured_angle: -0.000856, target_angle: 0.003400, newest_measurement_index: 10781, sent_torque: 0.023690, measured_torque: 0.000193
joint id: 7, measured_angle: -0.108955, target_angle: -0.104560, newest_measurement_index: 10833, sent_torque: 0.024781, measured_torque: 0.020225
joint id: 8, measured_angle: -0.000403, target_angle: -0.004833, newest_measurement_index: 10833, sent_torque: -0.012090, measured_torque: -0.006573
joint id: 0, measured_angle: -0.002181, target_angle: 0.002410, newest_measurement_index: 10918, sent_torque: 0.020127, measured_torque: 0.003230
joint id: 1, measured_angle: -0.116611, target_angle: -0.112055, newest_measurement_index: 11067, sent_torque: 0.021287, measured_torque: 0.023766
joint id: 2, measured_angle: -0.002425, target_angle: -0.007051, newest_measurement_index: 11067, sent_torque: -0.020468, measured_torque: -0.015711
joint id: 3, measured_angle: 0.010896, target_angle: 0.015696, newest_measurement_index: 11197, sent_torque: 0.013500, measured_torque: 0.005145
joint id: 4, measured_angle: -0.001937, target_angle: 0.002724, newest_measurement_index: 11248, sent_torque: 0.012947, measured_torque: 0.016211
joint id: 5, measured_angle: -0.001658, target_angle: -0.006353, newest_measurement_index: 11248, sent_torque: -0.013283, measured_torque: -0.009132
joint id: 6, measured_angle: -0.000786, target_angle: 0.003700, newest_measurement_index: 10783, sent_torque: 0.025411, measured_torque: 0.021479
joint id: 7, measured_angle: -0.108955, target_angle: -0.104260, newest_measurement_index: 10834, sent_torque: 0.026203, measured_torque: 0.020591
joint id: 8, measured_angle: -0.000403, target_angle: -0.005133, newest_measurement_index: 10834, sent_torque: -0.013276, measured_torque: -0.008843
joint id: 0, measured_angle: -0.002111, target_angle: 0.002710, newest_measurement_index: 10920, sent_torque: 0.021627, measured_torque: 0.009831
joint id: 1, measured_angle: -0.116611, target_angle: -0.111755, newest_measurement_index: 11068, sent_torque: 0.022301, measured_torque: 0.022587
joint id: 2, measured_angle: -0.002460, target_angle: -0.007351, newest_measurement_index: 11068, sent_torque: -0.023072, measured_torque: -0.011098
joint id: 3, measured_angle: 0.010896, target_angle: 0.015996, newest_measurement_index: 11198, sent_torque: 0.014400, measured_torque: 0.009889
joint id: 4, measured_angle: -0.001937, target_angle: 0.003024, newest_measurement_index: 11249, sent_torque: 0.013507, measured_torque: 0.004647
joint id: 5, measured_angle: -0.001658, target_angle: -0.006653, newest_measurement_index: 11249, sent_torque: -0.013498, measured_torque: -0.008560
joint id: 6, measured_angle: -0.000751, target_angle: 0.004000, newest_measurement_index: 10784, sent_torque: 0.026259, measured_torque: 0.022378
joint id: 7, measured_angle: -0.108955, target_angle: -0.103960, newest_measurement_index: 10835, sent_torque: 0.028167, measured_torque: 0.019574
joint id: 8, measured_angle: -0.000403, target_angle: -0.005433, newest_measurement_index: 10835, sent_torque: -0.014190, measured_torque: -0.013682
joint id: 0, measured_angle: -0.002111, target_angle: 0.003010, newest_measurement_index: 10921, sent_torque: 0.022778, measured_torque: 0.012238
joint id: 1, measured_angle: -0.116611, target_angle: -0.111455, newest_measurement_index: 11069, sent_torque: 0.024235, measured_torque: 0.022587
joint id: 2, measured_angle: -0.002460, target_angle: -0.007651, newest_measurement_index: 11070, sent_torque: -0.024154, measured_torque: -0.023134
joint id: 3, measured_angle: 0.010896, target_angle: 0.016296, newest_measurement_index: 11199, sent_torque: 0.015300, measured_torque: 0.009711
joint id: 4, measured_angle: -0.001902, target_angle: 0.003324, newest_measurement_index: 11250, sent_torque: 0.014865, measured_torque: 0.015713
joint id: 5, measured_angle: -0.001693, target_angle: -0.006953, newest_measurement_index: 11250, sent_torque: -0.014958, measured_torque: -0.011665
joint id: 6, measured_angle: -0.000751, target_angle: 0.004300, newest_measurement_index: 10785, sent_torque: 0.027850, measured_torque: 0.014449
joint id: 7, measured_angle: -0.108920, target_angle: -0.103660, newest_measurement_index: 10836, sent_torque: 0.029972, measured_torque: 0.013615
joint id: 8, measured_angle: -0.000403, target_angle: -0.005733, newest_measurement_index: 10836, sent_torque: -0.015091, measured_torque: -0.012638
joint id: 0, measured_angle: -0.002111, target_angle: 0.003310, newest_measurement_index: 10921, sent_torque: 0.025559, measured_torque: 0.012238
joint id: 1, measured_angle: -0.116541, target_angle: -0.111155, newest_measurement_index: 11070, sent_torque: 0.025657, measured_torque: 0.016603
joint id: 2, measured_angle: -0.002460, target_angle: -0.007951, newest_measurement_index: 11070, sent_torque: -0.025939, measured_torque: -0.023134
joint id: 3, measured_angle: 0.010896, target_angle: 0.016596, newest_measurement_index: 11200, sent_torque: 0.016200, measured_torque: 0.012618
joint id: 4, measured_angle: -0.001902, target_angle: 0.003624, newest_measurement_index: 11251, sent_torque: 0.015438, measured_torque: 0.013178
joint id: 5, measured_angle: -0.001693, target_angle: -0.007253, newest_measurement_index: 11251, sent_torque: -0.015192, measured_torque: -0.014269
joint id: 6, measured_angle: -0.000716, target_angle: 0.004600, newest_measurement_index: 10786, sent_torque: 0.030245, measured_torque: 0.025809
joint id: 7, measured_angle: -0.108886, target_angle: -0.103360, newest_measurement_index: 10837, sent_torque: 0.031442, measured_torque: 0.033498
joint id: 8, measured_angle: -0.000403, target_angle: -0.006033, newest_measurement_index: 10837, sent_torque: -0.015991, measured_torque: -0.010068
joint id: 0, measured_angle: -0.002076, target_angle: 0.003610, newest_measurement_index: 10922, sent_torque: 0.027059, measured_torque: 0.003950
joint id: 1, measured_angle: -0.116506, target_angle: -0.110855, newest_measurement_index: 11072, sent_torque: 0.026460, measured_torque: 0.022572
joint id: 2, measured_angle: -0.002495, target_angle: -0.008251, newest_measurement_index: 11072, sent_torque: -0.027453, measured_torque: -0.025309
joint id: 3, measured_angle: 0.010896, target_angle: 0.016896, newest_measurement_index: 11201, sent_torque: 0.017100, measured_torque: 0.010603
joint id: 4, measured_angle: -0.001902, target_angle: 0.003924, newest_measurement_index: 11252, sent_torque: 0.016569, measured_torque: 0.013178
joint id: 5, measured_angle: -0.001693, target_angle: -0.007553, newest_measurement_index: 11252, sent_torque: -0.016653, measured_torque: -0.014269
joint id: 6, measured_angle: -0.000647, target_angle: 0.004900, newest_measurement_index: 10787, sent_torque: 0.031836, measured_torque: 0.032246
joint id: 7, measured_angle: -0.108886, target_angle: -0.103060, newest_measurement_index: 10838, sent_torque: 0.031869, measured_torque: 0.030203
joint id: 8, measured_angle: -0.000403, target_angle: -0.006333, newest_measurement_index: 10838, sent_torque: -0.016891, measured_torque: -0.011173
joint id: 0, measured_angle: -0.002007, target_angle: 0.003910, newest_measurement_index: 10924, sent_torque: 0.028258, measured_torque: 0.025748
joint id: 1, measured_angle: -0.116506, target_angle: -0.110555, newest_measurement_index: 11072, sent_torque: 0.026960, measured_torque: 0.022572
joint id: 2, measured_angle: -0.002495, target_angle: -0.008551, newest_measurement_index: 11072, sent_torque: -0.027627, measured_torque: -0.025309
joint id: 3, measured_angle: 0.010896, target_angle: 0.017196, newest_measurement_index: 11202, sent_torque: 0.018000, measured_torque: 0.017184
joint id: 4, measured_angle: -0.001902, target_angle: 0.004224, newest_measurement_index: 11253, sent_torque: 0.017477, measured_torque: 0.014674
joint id: 5, measured_angle: -0.001693, target_angle: -0.007853, newest_measurement_index: 11253, sent_torque: -0.017580, measured_torque: -0.014612
joint id: 6, measured_angle: -0.000647, target_angle: 0.005200, newest_measurement_index: 10787, sent_torque: 0.033157, measured_torque: 0.031357
joint id: 7, measured_angle: -0.108851, target_angle: -0.102760, newest_measurement_index: 10839, sent_torque: 0.034910, measured_torque: 0.028228
joint id: 8, measured_angle: -0.000437, target_angle: -0.006633, newest_measurement_index: 10839, sent_torque: -0.017791, measured_torque: -0.014974
joint id: 0, measured_angle: -0.002007, target_angle: 0.004210, newest_measurement_index: 10924, sent_torque: 0.029566, measured_torque: 0.025748
joint id: 1, measured_angle: -0.116471, target_angle: -0.110255, newest_measurement_index: 11073, sent_torque: 0.028460, measured_torque: 0.021221
joint id: 2, measured_angle: -0.002530, target_angle: -0.008851, newest_measurement_index: 11073, sent_torque: -0.029127, measured_torque: -0.028137
joint id: 3, measured_angle: 0.010896, target_angle: 0.017496, newest_measurement_index: 11203, sent_torque: 0.018900, measured_torque: 0.016444
joint id: 4, measured_angle: -0.001902, target_angle: 0.004524, newest_measurement_index: 11254, sent_torque: 0.018377, measured_torque: 0.017491
joint id: 5, measured_angle: -0.001693, target_angle: -0.008153, newest_measurement_index: 11255, sent_torque: -0.018481, measured_torque: -0.019773
joint id: 6, measured_angle: -0.000577, target_angle: 0.005500, newest_measurement_index: 10789, sent_torque: 0.034242, measured_torque: 0.032224
joint id: 7, measured_angle: -0.108746, target_angle: -0.102460, newest_measurement_index: 10841, sent_torque: 0.036422, measured_torque: 0.035781
joint id: 8, measured_angle: -0.000437, target_angle: -0.006933, newest_measurement_index: 10841, sent_torque: -0.017763, measured_torque: -0.014909
joint id: 0, measured_angle: -0.001972, target_angle: 0.004510, newest_measurement_index: 10925, sent_torque: 0.031066, measured_torque: 0.018584
joint id: 1, measured_angle: -0.116471, target_angle: -0.109955, newest_measurement_index: 11073, sent_torque: 0.030334, measured_torque: 0.021221
joint id: 2, measured_angle: -0.002530, target_angle: -0.009151, newest_measurement_index: 11073, sent_torque: -0.030779, measured_torque: -0.028137
joint id: 3, measured_angle: 0.010896, target_angle: 0.017796, newest_measurement_index: 11204, sent_torque: 0.019800, measured_torque: 0.017362
joint id: 4, measured_angle: -0.001902, target_angle: 0.004824, newest_measurement_index: 11255, sent_torque: 0.019277, measured_torque: 0.013178
joint id: 5, measured_angle: -0.001693, target_angle: -0.008453, newest_measurement_index: 11255, sent_torque: -0.019381, measured_torque: -0.017930
joint id: 6, measured_angle: -0.000542, target_angle: 0.005800, newest_measurement_index: 10790, sent_torque: 0.035482, measured_torque: 0.022098
joint id: 7, measured_angle: -0.108746, target_angle: -0.102160, newest_measurement_index: 10841, sent_torque: 0.036844, measured_torque: 0.035781
joint id: 8, measured_angle: -0.000437, target_angle: -0.007233, newest_measurement_index: 10841, sent_torque: -0.019446, measured_torque: -0.014909
